Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
Phosphate transporter OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_10_1300 PE=3 SV=1 ;0 ;1 ;1 ;0 ;0 ;0 ;0 ;0
Phosphatidylinositol-4-phosphate 5-kinase-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_0370 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Phosphodiesterase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2440 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Phosphodiesterase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_1480 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Phosphodiesterase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_18_1090 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Phosphoglycerate kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_0100 PE=3 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
Phospholipid-transporting ATPase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1530 PE=3 SV=1 ;0 ;0 ;1 ;1 ;0 ;0 ;0 ;0
Phosphotransferase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_0240 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Polyadenylate-binding protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_4130 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Proteasome endopeptidase complex OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_0190 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;1 ;1
Proteasome regulatory ATPase subunit OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_4360 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Proteasome regulatory ATPase subunittcc1l8.3_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_0210 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;1 ;1
Proteasome regulatory non-ATP-ase subunit 11_putative (19s proteasome regulatory subunit_metallo-peptidase_ clan mp_ family m67) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0650 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Proteasome regulatory non-ATP-ase subunit 2_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_28_1730 PE=3 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Proteasome regulatory non-ATP-ase subunit 5_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_0760 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Proteasome regulatory non-ATPase subunit 6_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_02_0370 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Proteasome regulatory non-ATPase subunit_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_0120 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Proteasome subunit alpha type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_11_0240 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;0 ;0
Proteasome subunit alpha type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_0310 PE=3 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Proteasome subunit alpha type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_1700 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Proteasome subunit alpha type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_1830 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Proteasome subunit alpha type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_4850 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Proteasome subunit alpha type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1600 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Proteasome subunit beta OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_4340 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Proteasome subunit beta type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0140 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Proteasome subunit beta type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_0030 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;1 ;1
Proteasome subunit beta type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_3840 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
